Customer Id,li
208157,0
218374,0
161140,0
174029,0
81732,1
215921,0
10856,1
1673,1
162416,0
61018,1
172241,0
155807,0
187489,0
154199,0
44536,1
7100,1
51508,1
80211,1
165294,0
110931,0
130149,0
102936,0
220634,0
113175,0
57726,1
139862,0
193541,0
109935,0
24628,1
99818,1
78551,1
19534,1
124006,0
14505,1
66600,1
99131,1
189063,0
99585,1
151119,0
188828,0
13015,1
123414,0
9779,1
90862,1
102131,0
5978,1
206267,0
63087,1
66591,1
73307,1
9349,1
114420,0
49564,1
233410,0
52968,1
232044,0
60056,1
180336,0
120037,0
213096,0
100335,1
156132,0
31520,1
232983,0
89835,1
197698,0
236880,0
92350,1
161945,0
87108,1
123350,0
5714,1
36705,1
240288,0
50206,1
67551,1
223218,0
222489,0
225097,0
190591,0
135449,0
3614,1
5556,1
94246,1
150700,0
117080,0
231492,0
93266,1
122041,0
234509,0
216787,0
26461,1
78057,1
164594,0
22424,1
79099,1
46456,1
25622,1
82244,1
85046,1
97210,1
118249,0
61157,1
69988,1
121470,0
131842,0
51184,1
213613,0
92550,1
97047,1
200043,0
104767,0
29034,1
56824,1
211625,0
28431,1
126313,0
1481,1
100637,1
82461,1
39090,1
151289,0
102163,0
156098,0
136463,0
90344,1
80358,1
225544,0
17148,1
174828,0
48987,1
178220,0
2928,1
147410,0
207129,0
158387,0
183056,0
105363,0
148978,0
231478,0
70455,1
13418,1
72930,1
136778,0
133072,0
77632,1
242645,0
215668,0
29291,1
208697,0
163365,0
195779,0
140458,0
29782,1
131554,0
192487,0
231413,0
11647,1
146995,0
201029,0
87035,1
88816,1
176473,0
235269,0
27284,1
31607,1
100707,1
82591,1
31073,1
170513,0
165817,0
239633,0
4023,1
75493,1
162352,0
151070,0
195480,0
70163,1
184912,0
102590,0
61955,1
57069,1
170305,0
231581,0
160605,0
226982,0
53037,1
102965,0
4485,1
58625,1
31463,1
177085,0
164980,0
243247,0
185745,0
67769,1
90003,1
191909,0
637,1
176984,0
9213,1
135613,0
94140,1
188155,0
109307,0
145100,0
127994,0
177972,0
56809,1
227206,0
2371,1
201131,0
224261,0
79755,1
236156,0
235565,0
193999,0
239967,0
80713,1
154778,0
75364,1
153013,0
35446,1
216424,0
109861,0
167847,0
30655,1
164127,0
184658,0
108463,0
71622,1
19196,1
177866,0
114168,0
51046,1
125798,0
12037,1
141282,0
111631,0
85288,1
74059,1
20480,1
183784,0
230456,0
74151,1
58203,1
192767,0
208502,0
185197,0
167251,0
40728,1
